stimulus_id,condition,stimulus,pPMI_lag2
243sentences.68,lowPMI_random,shuttle out exterior floated the to team astronauts the of of together the space.,1.126067751591487
243sentences.69,lowPMI_random,repair telescope on to they broken the part needed huge tools carried the.,0.6322897548403343
243sentences.70,lowPMI_random,place while into replacement one other astronaut part bolts on the loosened the fitted the the pipe.,0.8803165992726731
243sentences.71,lowPMI_random,artists computers been for art in have time by experimental used long a.,0.4883748295789852
243sentences.72,lowPMI_random,affordable computer that have more the art are computers widespread mainstream entered now and world graphics.,0.8987017011207867
243sentences.73,lowPMI_random,have latest showcase conferences art some computer that science the exhibitions graphics technology.,1.2160451076434269
243sentences.74,lowPMI_random,bridging the devoted have up brand cultures that two conferences are new to sprung.,0.8234028500391823
243sentences.75,lowPMI_random,surgical the graphics doctors with works and computer to procedures visualize conditions specialist medical.,0.9748802560819148
243sentences.76,lowPMI_random,a uses she to animation structures patient's help body within digital doctors understand.,0.4780250456663352
243sentences.77,lowPMI_random,x-rays seeing a structures much is squinting animation than on in internal at the an clearer screen.,0.8142367052841556
243sentences.78,lowPMI_random,powerful education a animation modern is for tool digital.,1.2723976044077396
243sentences.79,lowPMI_random,graphics students of if computer the field actually ask we help must graphics as broadens.,1.1011445160582287
243sentences.80,lowPMI_random,imagery the research be does classroom vivid and in suggest that effective can engaging digital.,0.7839361920225529
243sentences.81,lowPMI_random,he place cliche school reason first came to in was law the the.,0.6867457616795842
243sentences.82,lowPMI_random,wanted the better he change for to things.,0.819376392076929
243sentences.83,lowPMI_random,director one he at the and law program evening recalled he all-nighter when an school pulled had.,0.7803213978006596
243sentences.84,lowPMI_random,at families petition drafting finally they sunrise several finished for evicted a.,0.5403584163309634
243sentences.85,lowPMI_random,education the cost gone relentlessly of decades legal over the past four up has.,0.8598769404418712
243sentences.86,lowPMI_random,school since 1970s a law four tuition increased factor the by private of.,0.6513344283626561
243sentences.87,lowPMI_random,crash law new to the and market admission could lawyers for school for eventually.,0.9772331462674662
243sentences.88,lowPMI_random,experience school actually have law minimal in faculty often law practicing.,1.1282779711131272
243sentences.89,lowPMI_random,writing review focus professors journals articles on for prestigious law.,0.9487713795293352
243sentences.90,lowPMI_random,feudal with the like property on emphasize theoretical law schools classes often topics england law in.,0.720628217439255
243sentences.91,lowPMI_random,pharmacists care are in increasingly preventive involved.,1.039198350846351
243sentences.92,lowPMI_random,they are front-line to often health pharmacies because go people advisers becoming.,0.7361758084531427
243sentences.93,lowPMI_random,often source public a about health pharmacists are of good information.,1.0298938273522555
243sentences.94,lowPMI_random,drug consult doctors interactions because pharmacists about with they and effects know a side lot.,0.9338372639808508
243sentences.95,lowPMI_random,safe dispense pharmacists the drugs to of medications and use offer prescription advice about patients.,1.3994357653224994
243sentences.96,lowPMI_random,health wellness also they vaccines screenings conduct and provide and.,0.8765464540038606
243sentences.97,lowPMI_random,in to and professional two pass licensed must have exams degrees be order pharmacists.,0.7047464374738502
243sentences.98,lowPMI_random,a me profession i chose much pharmacy chose i think as the as pharmacist to be.,0.5886273103607418
243sentences.99,lowPMI_random,as was i the by in a neatly child pharmacies fascinated arranged bottles.,0.7520414376353554
243sentences.100,lowPMI_random,impact but cliche on i know have love i lives that it's my the i patients of.,0.4474827375459961
243sentences.101,lowPMI_random,stressful potentially her his person each situations response has own to or.,0.8800668831304475
243sentences.102,lowPMI_random,working person one find be devastated fulltime unemployment while stressful may by may another.,0.5219443289560526
243sentences.103,lowPMI_random,in being are everyday traffic stuck like stresses there.,0.7442079939182547
243sentences.104,lowPMI_random,such child loss stresses there divorce of or traumatic a also are as.,0.8878251204943709
243sentences.105,lowPMI_random,can adapt people of different stress to some levels.,1.0478511125888432
243sentences.106,lowPMI_random,real toll take with though if health stress on dealt can not a effectively.,0.5753870439038761
243sentences.107,lowPMI_random,your remember will reaction beneficial harmful it's that determines be it or stress to if that.,0.7740537862191508
243sentences.108,lowPMI_random,felt my stressed downsizing worried i incredibly company was when and.,0.4931250195730518
243sentences.109,lowPMI_random,even heart reason dizzy times and for i my no would race at felt.,0.3878356642689769
243sentences.110,lowPMI_random,stress to started yoga my i to manage level taking try then.,0.7883684801334235
243sentences.111,lowPMI_random,with satin man a the jet wore tuxedo stripes black.,1.6707766729514109
243sentences.112,lowPMI_random,rich was with fabric latest in the style made cut it.,1.192699075815148
243sentences.113,lowPMI_random,clearly perfectly he it the tailored as man had fit it.,0.6337130753909433
243sentences.114,lowPMI_random,it looked something a have picked event for professional stylist a would out formal like.,1.0077415930108442
243sentences.115,lowPMI_random,attire personal grooms tuxedo still statements is wedding preferred in are today's the while making.,0.7508055654266129
243sentences.116,lowPMI_random,for of are the fashion jackets cutting wedding men on edge shorter.,0.5987184930243019
243sentences.117,lowPMI_random,shirts jazzing are grooms satin up ties and tuxedos colorful their also with.,1.2204996279942144
243sentences.118,lowPMI_random,silk tuxedo a a is lapels dinner black with jacket tailless jacket.,2.408513707621786
243sentences.119,lowPMI_random,tuxedo match trousers be the tie a to jacket should perfect black.,0.8550781307608445
243sentences.120,lowPMI_random,lapels be jacket should and the should the black white always match plain shirt be tie and the.,0.990053436783907
243sentences.121,lowPMI_random,in adulthood blind went the concert pianist.,0.7816314421531035
243sentences.122,lowPMI_random,eyes her was genetic a by blindness slowly damaged the caused that condition.,0.8984887488576672
243sentences.123,lowPMI_random,a to blind that told she pianist an interviewers was advantage being.,0.9287842707239417
243sentences.124,lowPMI_random,music so more distractions she could had visual on fully no she concentrate her.,0.7199714261654803
243sentences.125,lowPMI_random,as activities the blindness vision the government for defines ordinary insufficient of life.,0.8428382580021413
243sentences.126,lowPMI_random,can resources establishing by the the be blindness of on parameters legally blind focused legal.,0.8607838019736987
243sentences.127,lowPMI_random,but problems may this meet overlook who vision who not those the standard do have.,0.8237595296204058
243sentences.128,lowPMI_random,deficiencies infectious usually countries in disease blindness nutritional children and caused is developing in by.,1.0294193488090821
243sentences.129,lowPMI_random,by causes and be supplements prevented medicine can often these vitamin.,0.8299291468447956
243sentences.130,lowPMI_random,countries more genetic blindness is developed be by to likely in caused problems.,0.9966193160300548
243sentences.131,lowPMI_random,to your no really a how exactly mouth one taste brain gets your knows from.,0.972109824281862
243sentences.132,lowPMI_random,of bud scientists touches think cell begins when taste the process a food a molecule.,0.7243689617018645
243sentences.133,lowPMI_random,the taste carries taste beneath cell message nerves cell a to the.,0.8397814982405176
243sentences.134,lowPMI_random,one believed tastes bud taste four the once that was of to responded basic each it.,0.7498171613674267
243sentences.135,lowPMI_random,eating the the respond would tip of if is taste tongue you on that bud were only a something sweet.,0.6933406004294931
243sentences.136,lowPMI_random,all can bud sensitive single think tastes of that a be taste scientists now to the basic.,0.7923887737131502
243sentences.137,lowPMI_random,flavors very i sense to isn't foods very taste of so with eat my good strong tend.,0.6307825290817456
243sentences.138,lowPMI_random,bitter cream i it's my hot i lots and sauce no like very coffee with of drink so.,0.6034221262973437
243sentences.139,lowPMI_random,extra well make sweetness i when i can't taste cookies i even so add sugar.,0.6694556376420939
243sentences.140,lowPMI_random,fractures real for problem aging are a hip individuals.,0.8388986347973416
243sentences.141,lowPMI_random,process of patients faced of pain the difficult are the healing break the with and.,0.9024359509609656
243sentences.142,lowPMI_random,adjust the have families independence patient's to loss of to.,0.6390685800559913
243sentences.143,lowPMI_random,involve hospital time fractures and expense in and hip the society for substantial.,0.9640539651772482
243sentences.144,lowPMI_random,snapping through halfway i race like their heard fingers someone the a sound.,0.9253583031737278
243sentences.145,lowPMI_random,foot felt i and crunch that was i broken my a knew instantly.,0.5808078429514434
243sentences.146,lowPMI_random,on every running spikes felt step like.,0.9388729563514332
243sentences.147,lowPMI_random,clearly x-ray afterward office the doctor's at the showed fracture the.,0.5908904984109847
243sentences.148,lowPMI_random,bone types are a fracture of different few there.,0.910207537380144
243sentences.149,lowPMI_random,but closed bone skin intact is fractures broken in the or simple is the.,1.0348815597473178
243sentences.150,lowPMI_random,skin bone or has open open in wound an produced broken the compound the punctured and fractures.,1.2453303439211676
243sentences.151,lowPMI_random,become piercings can cleaned infected they're not if ear new carefully.,0.5371656199425692
243sentences.152,lowPMI_random,swelling of the or signs infection earlobe tenderness redness around include.,1.212660380598164
243sentences.153,lowPMI_random,these if clean the symptoms some you area see and apply ointment.,0.6266589587493014
243sentences.154,lowPMI_random,swelling health contact and don't if the away redness your go care provider.,0.6287543585477469
243sentences.155,lowPMI_random,reduce has hospital infections measures to local initiated new a.,1.089739578048304
243sentences.156,lowPMI_random,that patients from they patients have other washing habits isolated improved hand are infected and ensured.,0.8507963532935182
243sentences.157,lowPMI_random,measures hospital the infection seen began drop new the has rates since.,0.4130457369374687
243sentences.158,lowPMI_random,healing of scrubbing increases a infection soap or risk wound with the which alcohol delays.,1.1059949705615506
243sentences.159,lowPMI_random,in the can band-aids and risk moisture heat infection holding of increase by.,0.7989002391277071
243sentences.160,lowPMI_random,easily infections skin once treated fortunately be diagnosed most they can are.,1.1226164313860136
243sentences.161,lowPMI_random,at end opera modern century of started the sixteenth the.,0.8824743480324009
243sentences.162,lowPMI_random,tragic began it effort an performance rediscover greek imitate as to and.,0.7180868584096742
243sentences.163,lowPMI_random,tales matter their chose early subject opera for antiquity founders from of.,0.5449678126900335
243sentences.164,lowPMI_random,musical of branched into and operas different stories traditions out sources later.,0.8042704478416609
243sentences.165,lowPMI_random,perform which words and music singers an form a art that in play and combines is opera musicians.,1.0259208675311062
243sentences.166,lowPMI_random,theatre spoken incorporates it scenery many such of the acting of and costumes as elements.,0.9885969505079809
243sentences.167,lowPMI_random,typically by orchestra opera are accompanied given in house an an performances and.,0.8749370783900036
243sentences.168,lowPMI_random,the opera the in has worked new to win production role hard singer the.,0.7858444785568907
243sentences.169,lowPMI_random,job is her just singing not about.,1.137452195527824
243sentences.170,lowPMI_random,stage musical are interpretation all presence and acting critical.,0.8544906435352428
243sentences.171,lowPMI_random,is show of voice but the strong star the her certainly pure.,0.6025025248070446
243sentences.172,lowPMI_random,a mind must many completing painter elements while painting keep in a.,0.7435426360418744
243sentences.173,lowPMI_random,lighting she to of elements solid has strong composition and use like design.,0.6460346183679383
243sentences.174,lowPMI_random,with brush has to skill strokes the execute she.,0.7558547706820298
243sentences.175,lowPMI_random,the soul content glimpse of importantly the the a should painter's reveal of most painting.,0.6727759526343363
243sentences.176,lowPMI_random,painters as artists as ago than were employed skilled creative more long artisans.,1.0326936461994096
243sentences.177,lowPMI_random,scholars royal however members prominent court the social the painters had of and status of.,0.9091808189336692
243sentences.178,lowPMI_random,patrons their they imagery on subject with signed personal decided work established and and its a relationship their.,0.7370935527129882
243sentences.179,lowPMI_random,actual focus the painting itself less painter learned scene i more to and on on a as the.,0.7970542237622427
243sentences.180,lowPMI_random,vision within lens field has not an eye camera a everything artist's of to record is that its.,0.9776178041612332
243sentences.181,lowPMI_random,for found i needed provides useful good painting but a more nature than is information.,1.0421940501250766
243sentences.182,lowPMI_random,impressive the bird owl an is eagle.,1.4378585023301218
243sentences.183,lowPMI_random,like stick has ear horns up that tufts it.,0.5072652803661715
243sentences.184,lowPMI_random,they eyes you and creepy right pierce orange are large could like look through downright its.,0.9462441368413632
243sentences.185,lowPMI_random,this owl at through darkness night the swiftly silently and flying hunts.,1.4445689763767582
243sentences.186,lowPMI_random,species while become thriving owl are some others endangered have.,0.9998565581606071
243sentences.187,lowPMI_random,barred the spread habitat beyond well previous owl has its.,0.9641567516848404
243sentences.188,lowPMI_random,early findings that barred invasion logging owl's have the facilitated may suggest.,0.6948521772745048
243sentences.189,lowPMI_random,landed with talons branch owl it on a and her thick the gripped.,0.9166562474865848
243sentences.190,lowPMI_random,her her an wings to pressed settled half-closing and sides she down eye.,0.7587010830065738
243sentences.191,lowPMI_random,glow her statue been for but of eyes might have she the a.,0.4798721004149538
243sentences.192,lowPMI_random,sea floating polar watch unnerving it's ice stalk to bear across a.,0.7339857952702303
243sentences.193,lowPMI_random,the animal the it's waters even huge you are beneath worse when directly frigid submerged in.,0.7311884262228985
243sentences.194,lowPMI_random,on prey set polar down giant paws pursued the ice its as bear overhead the.,0.9825565603962828
243sentences.195,lowPMI_random,shots as polar the i documentary capturing for months a film of these part crew spent bear.,1.037378363132652
243sentences.196,lowPMI_random,one polar that animals confusion are people bears attack fear for few or than the will of reasons other.,0.6725204546293596
243sentences.197,lowPMI_random,in out may they food-scarce of environment a because live hunger attack they.,0.4845421395213711
243sentences.198,lowPMI_random,their careful sneak on conserve will people to energy up slowly they.,0.9995800178347516
243sentences.199,lowPMI_random,is part bear's an polar diet the seal of important the.,0.6830690372484093
243sentences.200,lowPMI_random,the on when or seal's ice hunting by wait will that hole basking breathing stalk are a they seals.,0.7690529215085908
243sentences.201,lowPMI_random,the polar freeze crawl place in quietly will looks the when and bear forward seal around.,0.7618319067590337
243sentences.202,lowPMI_random,defense medieval the not for structure a primarily castle was built.,1.041865409252254
243sentences.203,lowPMI_random,to its dominate was surroundings purpose its.,1.0482537508181913
243sentences.204,lowPMI_random,a within walk castle could day's control lands easily a.,0.7178724926416621
243sentences.205,lowPMI_random,protection livestock could times brought peasants the walls attack of property castle's inside during and for be.,0.7311374248756844
243sentences.206,lowPMI_random,of many spectacular in a provide locations history castles record regions of stormy dramatic the.,1.0784459975190028
243sentences.207,lowPMI_random,quaint they today rocky atop villages overlooking and landscapes stand cliffs beautiful.,1.1842615466474846
243sentences.208,lowPMI_random,intrigue the in were and to home plots past they battles.,0.4688771257984324
243sentences.209,lowPMI_random,train upon hotel cliff built the a leaving on above saw a our we looming station magnificent castle.,1.1569013349619195
243sentences.210,lowPMI_random,the the outside inner an sheltered above thick courtyard river hundreds feet walls of.,0.9306999503308296
243sentences.211,lowPMI_random,slightly scary tower had our an rooms but view incredible.,0.5771454184767679
243sentences.212,lowPMI_random,black me of into pyramid up gestured after fifty side the entranceway climbing a the man feet the small.,0.7743528615152945
243sentences.213,lowPMI_random,the this pyramid's center led chamber into at the.,0.5819415563574205
243sentences.214,lowPMI_random,steep the followed dark him i down passage narrow.,0.8227372215292106
243sentences.215,lowPMI_random,the the inside and chalky air was pyramid smell thick was the.,1.1837674398364186
243sentences.216,lowPMI_random,of the more just the of tomb pride than king nation pyramids the the represented.,0.896495070217992
243sentences.217,lowPMI_random,the care the craft evident pyramid is took their in builders that.,0.8804562631275274
243sentences.218,lowPMI_random,the stones the the together and gleamed until were precisely pyramid fitted polished structure covering.,0.8138013855563995
243sentences.219,lowPMI_random,pyramids are architects to working of were solve constructed how still the mysteries.,0.8164042241011432
243sentences.220,lowPMI_random,to stone inside were pyramid's the raise blocks think ramps some walls built.,0.4981718397772497
243sentences.221,lowPMI_random,the speculate others zigzagged ramps pyramid the of walls that up exterior.,0.7986486033725391
243sentences.222,lowPMI_random,climbing beginner strength courage rock takes even and.,0.5362552729033384
243sentences.223,lowPMI_random,large try are the on who sport scrambling boulders learning can climbers.,0.5474759633341149
243sentences.224,lowPMI_random,rock can that to safely using with they once they're begin comfortable ropes faces climb vertical.,0.6954658085611478
243sentences.225,lowPMI_random,the climbing to on all rock boys new were of trip the.,0.8329058071329988
243sentences.226,lowPMI_random,many heights afraid were of.,0.9650014445258968
243sentences.227,lowPMI_random,calm them knots check someone having down harnesses else and helped their.,0.6254688716586713
243sentences.228,lowPMI_random,for routes adults set beginners appropriate climbing up the.,0.7366157964428466
243sentences.229,lowPMI_random,free-climbing rock is particular one of climbing style.,0.7289950942184245
243sentences.230,lowPMI_random,a rock the relies skill her on ascend climber and face physical to solely strength.,0.9093145213146618
243sentences.231,lowPMI_random,and the are rope equipment only bolts used.,0.5768002057977605
243sentences.232,lowPMI_random,only climber to they the are falls meant stop she if.,0.7602765057043612
243sentences.233,lowPMI_random,buddies me steep down that trail try hesitantly skied my the to convinced i.,0.8612569168190454
243sentences.234,lowPMI_random,found i turn bad and a i made myself down tumbling.,0.6787310404649394
243sentences.235,lowPMI_random,came of slope at finally part to a a the stop i flat.,0.6249182429061324
243sentences.236,lowPMI_random,the a and snow poles to in my were found be hill skis drift were lodged nowhere my up.,0.9261681602344782
243sentences.237,lowPMI_random,is professional how skiers strength use poles major they of a ski.,0.7210734490149867
243sentences.238,lowPMI_random,skiing improves adds poles proper balance use ski to flair of their and their.,0.8343983071243541
243sentences.239,lowPMI_random,skiing upper regain for it movements minimizes need balance lost the body to while.,0.7209159319842486
243sentences.240,lowPMI_random,quickly ski new stiffer more let boots turn designs and skiers.,0.5176021818732617
243sentences.241,lowPMI_random,the faster but turns tighter legs the on force and increase twisting.,0.9861078083477844
243sentences.242,lowPMI_random,led injuries skier's to more has ligaments the to particularly this in knee.,0.5712044694904532
384sentences.0,lowPMI_random,a an musical keyboards is two accordion with instrument portable.,1.0262699432667146
384sentences.1,lowPMI_random,individual keyboard for notes one is chords for the other used.,0.9576312218274604
384sentences.2,lowPMI_random,with that produce accordions reeds blow sound air through bellows.,0.8355550085294899
384sentences.3,lowPMI_random,opening accordionist closing keyboards bellows while and plays both an the.,0.9421235268546306
384sentences.4,lowPMI_random,a an home that self-contained a apartment is is part of building.,0.5803712283579278
384sentences.5,lowPMI_random,or as apartment as one kitchen a have may rooms and a an more bathroom well.,0.7624277183658569
384sentences.6,lowPMI_random,for people apartments are families others single for some.,1.0481469331526645
384sentences.7,lowPMI_random,a extra facility have garage the building laundry can or a storage space.,1.1763927628436093
384sentences.8,lowPMI_random,a an that can fruit or apple be is green red yellow.,0.8103320307711179
384sentences.9,lowPMI_random,apples skin a have sweet pulp inside seeds crisp thin and.,1.0735905559643606
384sentences.10,lowPMI_random,make used very tart cider to are apples some.,1.1590902023612095
384sentences.11,lowPMI_random,can apples eaten or be in pies raw baked roasted.,1.6257597279559832
384sentences.12,lowPMI_random,of is or burning arson the wildland act a building criminal.,0.7326987067836472
384sentences.13,lowPMI_random,a arson by if a was accident caused determines or investigation fire fire.,1.022621032392817
384sentences.14,lowPMI_random,collect or cause done can arson insurance to be damage others to.,0.8489192998232725
384sentences.15,lowPMI_random,on severity people crime harmed depends whether of the the were.,0.7729213778329341
384sentences.16,lowPMI_random,wheeled automobile for is passengers a vehicle or car an transporting.,1.3840198438144842
384sentences.17,lowPMI_random,can by electric be or engine a car a powered gasoline.,1.4637960674939137
384sentences.18,lowPMI_random,on driver just roads the steers sit car other passengers the.,1.042413569598605
384sentences.19,lowPMI_random,size automobiles of doors number of vary and in the type trunk.,0.9809258443514082
384sentences.20,lowPMI_random,the wood axe a and tool used cut is split to.,1.2204301494067653
384sentences.21,lowPMI_random,of axe consists a a attached to handle usually head the.,1.1237266374341144
384sentences.22,lowPMI_random,axe historically made metal stone of then heads were and.,0.8920316511556293
384sentences.23,lowPMI_random,are woodcutters firemen and entering used by axes buildings.,1.1910922112874696
384sentences.24,lowPMI_random,edible soft inside a a a fruit that is bunchs banana grows in long with.,1.0021846413643198
384sentences.25,lowPMI_random,or brown a and banana spots can be small when ripe have red yellow purple.,1.3061044307712548
384sentences.26,lowPMI_random,the are tropical greatest such as ecuador or countries producers india.,0.5846632438769933
384sentences.27,lowPMI_random,like and and are cooked bananas staple often potatoes plantains foods unripe.,1.0081483319195514
384sentences.28,lowPMI_random,in of as bed place piece sleep have a is used or to a furniture sex a.,0.7194191407793118
384sentences.29,lowPMI_random,and mattress of spring plus a made a a bed and is box covers sheets pillows.,1.1591058071805804
384sentences.30,lowPMI_random,with with is airbeds it and mattress filled in waterbeds water the in air is filled.,1.0010634037877852
384sentences.31,lowPMI_random,the another of hammock the is above type a ground fabric suspended bed sling.,1.179879998259896
384sentences.32,lowPMI_random,black a bee a and is and with flying body a six legs yellow insect.,1.1456951669925637
384sentences.33,lowPMI_random,make collect pollen flowers to spread as nectar honey between they bees.,1.3521380325431471
384sentences.34,lowPMI_random,a bees social together live and in are in hive a located insects colony.,1.1573512968866655
384sentences.35,lowPMI_random,many threatened bees stingers they and can feel have if attack.,1.0594670107363475
384sentences.36,lowPMI_random,frame a is two with vehicle bicycle pedals on a a and wheels.,1.3017856527137808
384sentences.37,lowPMI_random,saddle a is pedalling the by bicycle cyclist on the propelled a of.,1.1986258133226069
384sentences.38,lowPMI_random,rubber the with an tires of wheels inner have tube full air.,1.0240578195610608
384sentences.39,lowPMI_random,use and racing people for recreation bicycles transportation.,1.0279342869837875
384sentences.40,lowPMI_random,a objects iron creates steel blacksmith by or forging.,1.128323688604278
384sentences.41,lowPMI_random,its a hammers iron hot bends change blacksmith on shape an to and anvil.,0.9395941432604068
384sentences.42,lowPMI_random,and wears with handle blacksmiths a tongs apron the metal thick.,0.909594140207449
384sentences.43,lowPMI_random,or iron make like blacksmiths weapons objects shoes furniture horse.,0.624062014746712
384sentences.44,lowPMI_random,kitchen or mix a appliance a blender to is ingredients used puree food.,1.4873021733242602
384sentences.45,lowPMI_random,bottom plastic rotating or blenders with have glass in blade a container a the.,1.16324242809644
384sentences.46,lowPMI_random,and fruit are to blenders make used shakes smoothies milk.,1.1794999768978724
384sentences.47,lowPMI_random,blenders also cold make to are with crushed ice used drinks alcoholic.,0.9252500510882148
384sentences.48,lowPMI_random,male a is has who a child puberty boy not young undergone.,1.338704818525472
